id,Limba,Locality,Sample,Type_of_tourist,Q1,Q2,Q3,Q3A,Q4,Q5,Q6_1,Q6_2,Q6_3,Q7_1,Q7_2,Q7_3,Q8,Q9_1,Q9_2,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_99,Q14_14_other,Q15,Q16A,Q16B_1,Q16B_2,Q16B_3,Q16B_4,Q16B_5,Q16B_6,Q16B_7,Q16B_8,Q16B_9,Q16B_10,Q16B_11,Q16B_12,Q16B_99,Q16B_11_other,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_99,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_99,Q20_1_other,Q20_3_other,Q20_9_other,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_99,Q22_11_other,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_99,Q23_6_other,Q24A,Q24B,Q25_1_Total,Q25_1_97,Q25_1_99,Q25_2_Total,Q25_2_6,Q25_2_7,Q25_3_Total,Q25_3_6,Q25_3_7,Q25_4_Total,Q25_4_6,Q25_4_7,Q25_5_Total,Q25_5_6,Q25_5_7,Q25_6_Total,Q25_6_6,Q25_6_7,Q25_7_Total,Q25_7_6,Q25_7_7,Q25_8_Total,Q25_8_6,Q25_8_7,Q25_9_Total,Q25_9_6,Q25_9_7,Q25_13_Total,Q25_13_6,Q25_13_7,Q26_11,Q27_11,Q26_12,Q27_12,Q26_13,Q27_13,Q26_14,Q27_14,Q27_14_other,Q26_21,Q27_21,Q26_22,Q27_22,Q26_23,Q27_23,Q26_24,Q27_24,Q26_25,Q27_25,Q26_26,Q27_26,Q26_27,Q27_27,Q26_28,Q27_28,Q26_29,Q27_29,Q27_29_other,Q26_3,Q27_3,Q26_41,Q27_41,Q26_42,Q27_42,Q26_43,Q27_43,Q26_44,Q27_44,Q27_44_other,Q26_51,Q27_51,Q26_52,Q27_52,Q26_53,Q27_53,Q26_54,Q27_54,Q27_54_other,Q26_61,Q27_61,Q26_62,Q27_62,Q26_63,Q27_63,Q26_64,Q27_64,Q26_65,Q27_65,Q27_65_other,Q26_71,Q27_71,Q26_72,Q27_72,Q26_73,Q27_73,Q26_74,Q27_74,Q26_75,Q27_75,Q26_81,Q27_81,Q26_82,Q27_82,Q26_83,Q27_83,Q26_84,Q27_84,Q26_85,Q27_85,Q26_86,Q27_86,Q26_87,Q27_87,Q27_87_other,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_12,Q28_13,Q28_14,Q28_15,Q28_16,Q28_17,Q28_18,Q28other,Q30_1,Q30_2,Q30_3,Q31,Q33_1,Q33_2,Q33_3,Q34_1,Q34_2,Q34_3,Q35,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q37,Q38,Q39
1785.0,Rom-Rus,Chisinau,PMAN (during National Wine Day & City Anniversary),Moldovan diaspora who traveled in MD,Romania,Romania,23.0,18-25,6.0,Moldovan diaspora who traveled in Moldova,"I have time for holidays, vacation now","Festivals, holidays",,"Family, relatives",Wine,"Traditional food, good food, tasty food, fuits, vegetables",4.0,5.0,Less than a week,"Visiting relatives, friends",No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,Not at all,"Visiting relatives, friends",No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,Family members/ friends,,No,No,No,No,No,No,No,No,No,No,No,,,,Very easy,No,No,No,No,No,No,No,No,No,No,Yes,No,Other,No,No,No,No,No,No,Yes,,By private/rented vehicle,By private/rented vehicle,,Yes,No,1339.8,No,No,,Yes,No,3828.0,No,No,,Yes,No,,Yes,No,,Yes,No,,Yes,No,,Yes,No,5167.8,No,No,I did not visit,,I did not visit,,I visited,Very satisfied,I did not visit,,,I did not visit,,I visited,DK/ NR,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Rather satisfied,Very satisfied,"Neither satisfied, nor dissatisfied",DK,"Neither satisfied, nor dissatisfied",Rather satisfied,DK,DK,DK,DK,DK,Very satisfied,Very satisfied,Not applicable,,No difficulties,,,I would surely recommend,Cricova,Soroca,Tipova Monastery,"Visit monasteries, churches","See rural life, villages","Eat good food, traditional food",,,,,A longer pedestrian street,,,Male,"Master’s degree, Ph. D.",Single
1877.0,Rom-Rus,Chisinau,Airport,Moldovan diaspora who traveled in MD,Romania,Romania,60.0,56-67,4.0,Moldovan diaspora who traveled in Moldova,"To meet with my relatives, friends. Relative, friends called me",,,Orheiul Vechi,,,2.0,14.0,1-2 weeks,"Visiting relatives, friends",No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,"I wanted to visit my family, friends",To a small extent,"Leisure: Vacation, rest, recreation",No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,No,No,No,No,No,No,No,Myself,,No,No,No,No,No,No,No,No,No,No,No,,,,Easy,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,Yes,,By plane,By plane,,No,Yes,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,Yes,I visited,Very satisfied,I visited,Very satisfied,I visited,Very satisfied,I visited,Very satisfied,Librariile,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I visited,Very satisfied,I did not visit,,I did not visit,,I visited,Very satisfied,Hincu,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Rather satisfied,Very satisfied,Very satisfied,Very satisfied,Rather dissatisfied,Very satisfied,Very satisfied,DK,Rather dissatisfied,"Neither satisfied, nor dissatisfied",DK,DK,DK,DK,Rather satisfied,DK,DK,Not applicable,,No difficulties,,,8.0,Hincu,Capriana Monastery,Orheiul Vechi,Make good living conditions,Make better roads,,,DK,,,DK,,,Female,Incomplete higher education,"Married, with children"
1894.0,Rom-Rus,Chisinau,Airport,Moldovan diaspora who traveled in MD,Italy,Romania,44.0,36-45,2.0,Moldovan diaspora who traveled in Moldova,"At home, I was born here",,,Forest,Vineyards,"Monasteries, churches",5.0,14.0,1-2 weeks,"Visiting relatives, friends",No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,"I wanted to visit my family, friends",To a small extent,"Leisure: Vacation, rest, recreation",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,No,No,No,No,No,No,No,No,Myself,,No,No,No,No,No,No,No,No,No,No,No,,,,Easy,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,Yes,,By plane,By plane,5742.0,No,No,,No,No,,No,No,2871.0,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,12441.0,No,No,I did not visit,,I did not visit,,I did not visit,,I visited,Very satisfied,Sanatoriul,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Rather satisfied,Very satisfied,Very satisfied,Very satisfied,Rather satisfied,Very satisfied,Very satisfied,DK,"Neither satisfied, nor dissatisfied",Rather dissatisfied,DK,DK,DK,DK,DK,DK,DK,Not applicable,,No difficulties,,,I would surely recommend,"Monasteries, Churches",,,"Treatment, health","Stay with friends, party with friends","Rest, to rest",,DK,,,DK,,,Female,Incomplete higher education,"Married, with children"
1840.0,Rom-Rus,Chisinau,Airport,Moldovan diaspora who traveled in MD,Romania,Romania,34.0,26-35,10.0,Moldovan diaspora who traveled in Moldova,"To meet with my relatives, friends. Relative, friends called me",,,Wine,"Traditional food, good food, tasty food, fuits, vegetables",,10.0,4.0,Less than a week,"Visiting relatives, friends",No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,To a great extent,"Visiting relatives, friends",No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,Myself,,No,No,No,No,No,No,No,Yes,No,No,No,,,,Very easy,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,Yes,,By plane,By plane,4038.54,No,No,,Yes,No,,Yes,No,1914.0,No,No,1914.0,No,No,957.0,No,No,191.4,No,No,,Yes,No,,Yes,No,26240.940000000002,No,No,I did not visit,,I did not visit,,I visited,Very satisfied,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I visited,"Neither satisfied, nor dissatisfied",I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I visited,Satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Very satisfied,Rather satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"Neither satisfied, nor dissatisfied",Rather dissatisfied,Rather satisfied,Rather satisfied,"Neither satisfied, nor dissatisfied",Rather satisfied,Rather satisfied,Rather satisfied,Rather satisfied,DK,Not applicable,,DK,,,I would surely recommend,Soroca,Castle Mimi,Orheiul Vechi,Drink wine,Dance,"Eat good food, traditional food",,,,,Roads,"More frequent transport to tourist destinations, timetable to be respected",,Male,Complete higher education (Bachelor’s degree),"Married, with children"
1867.0,Rom-Rus,Chisinau,Airport,Moldovan diaspora who traveled in MD,Italy,Romania,24.0,18-25,4.0,Moldovan diaspora who traveled in Moldova,Wedding,"Festivals, holidays",Wine Day,"Holidays, parties, entertaiment","People's hospitality, good people",,3.0,14.0,1-2 weeks,"Visiting relatives, friends",No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,To some extent,"Leisure: Vacation, rest, recreation",No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,Yes,No,No,No,Myself,,No,No,No,No,No,No,No,No,No,No,No,,,,Easy,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,Yes,,By plane,By plane,,No,Yes,1531.2,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,574.2,No,No,,No,No,7656.0,No,No,I visited,"Neither satisfied, nor dissatisfied",I visited,Satisfied,I visited,Very satisfied,I did not visit,,,I visited,Very satisfied,I visited,Dissatisfied,I visited,DK/ NR,I visited,Satisfied,I visited,Very satisfied,I visited,"Neither satisfied, nor dissatisfied",I visited,Satisfied,I visited,DK/ NR,I did not visit,,,I visited,Satisfied,I did not visit,,I did not visit,,I visited,"Neither satisfied, nor dissatisfied",I did not visit,,,I did not visit,,I did not visit,,I visited,Very satisfied,I did not visit,,,I did not visit,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I did not visit,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,"Neither satisfied, nor dissatisfied",Rather satisfied,Rather satisfied,Rather satisfied,Rather satisfied,"Neither satisfied, nor dissatisfied",DK,DK,Rather dissatisfied,Rather satisfied,DK,DK,DK,DK,Very satisfied,Very dissatisfied,DK,Not applicable,,Problems at customs/airport,,,8.0,Orheiul Vechi,Castle Mimi,Wine Day,"Visit museums, exhibitions","Eat good food, traditional food","Dinner, eat in a traditional restaurant",,,,,"Cleanliness, to do clean",,,Female,Complete higher education (Bachelor’s degree),Single
1896.0,Rom-Rus,Chisinau,Airport,Moldovan diaspora who traveled in MD,Romania,Romania,22.0,18-25,2.0,Moldovan diaspora who traveled in Moldova,"To meet with my relatives, friends. Relative, friends called me",,,Orheiul Vechi,,,10.0,6.0,Less than a week,"Visiting relatives, friends",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"I wanted to visit my family, friends",To a small extent,"Visiting relatives, friends",No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,No,Myself,,No,No,No,No,No,No,No,No,No,No,No,,,,Very easy,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,Yes,,By plane,By plane,,No,Yes,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,7656.0,No,No,I did not visit,,I did not visit,,I visited,Very satisfied,I visited,Very satisfied,Valea Morilor,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Rather satisfied,Very satisfied,Very satisfied,DK,"Neither satisfied, nor dissatisfied","Neither satisfied, nor dissatisfied",Very satisfied,Rather satisfied,DK,DK,Very satisfied,DK,DK,Not applicable,,No difficulties,,,I would surely recommend,Orheiul Vechi,,,Make good living conditions,,,,DK,,,DK,,,Female,99.0,Single
1765.0,Rom-Rus,Leuseni,Romanian border customs,Moldovan diaspora who traveled in MD,Romania,Romania,23.0,18-25,3.0,Moldovan diaspora who traveled in Moldova,"To meet with my relatives, friends. Relative, friends called me",,,Wine,Bad roads,Cheap,5.0,14.0,1-2 weeks,"Visiting relatives, friends",No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,To some extent,"Visiting relatives, friends",No,No,No,No,No,No,No,No,No,No,Yes,No,No,Rural Tourism,No,No,No,No,No,No,No,No,Myself,,No,No,No,No,No,No,No,No,No,No,No,,,,Easy,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,,By private/rented vehicle,By private/rented vehicle,,Yes,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,19140.0,No,No,I did not visit,,I did not visit,,I visited,Satisfied,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Very dissatisfied,"Neither satisfied, nor dissatisfied","Neither satisfied, nor dissatisfied",Rather dissatisfied,"Neither satisfied, nor dissatisfied","Neither satisfied, nor dissatisfied",DK,DK,Very dissatisfied,Very satisfied,DK,DK,DK,DK,Rather satisfied,DK,DK,Not applicable,,DK,,,I would not surely recommend,Rural life,Wineries,,"Visit wineries, see how wine is made","See rural life, villages",,,Road signs,,,,,,Male,Complete higher education (Bachelor’s degree),Single
1982.0,Rom-Rus,Leuseni,Romanian border customs,Moldovan diaspora who traveled in MD,Romania,Romania,40.0,36-45,3.0,Moldovan diaspora who traveled in Moldova,"To meet with my relatives, friends. Relative, friends called me",,,"Traditional food, good food, tasty food, fuits, vegetables",,,6.0,7.0,1-2 weeks,"Visiting relatives, friends",No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,,Not at all,"Visiting relatives, friends",No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,No,Myself,,No,No,No,No,No,No,No,No,No,Yes,No,,,,Very easy,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,Yes,,By private/rented vehicle,By private/rented vehicle,,Yes,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,,No,No,3828.0,No,No,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Very satisfied,Very satisfied,Very satisfied,Rather satisfied,Very satisfied,Very satisfied,DK,DK,Rather dissatisfied,Very satisfied,DK,DK,DK,DK,Very satisfied,DK,DK,Not applicable,,DK,,,DK,Orheiul Vechi,Wineries,,Drink wine,"Eat good food, traditional food","Meeting moldavians, spend a day like moldavians",,,,,Infrastructure,,,Male,Complete higher education (Bachelor’s degree),"Married, with children"
2266.0,Rom-Rus,Leuseni,Romanian border customs,Moldovan diaspora who traveled in MD,Romania,Romania,46.0,46-55,3.0,Moldovan diaspora who traveled in Moldova,"To meet with my relatives, friends. Relative, friends called me",,,"Lanscapes, beautiful contry, nature","Traditional food, good food, tasty food, fuits, vegetables",,5.0,15.0,One month (3-4 weeks),"Visiting relatives, friends",No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,To a small extent,"Visiting relatives, friends",Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,Myself,,No,No,No,No,No,No,No,No,No,No,No,,,,Very easy,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,Yes,,By private/rented vehicle,By private/rented vehicle,,Yes,No,1700.0,No,No,,Yes,No,1700.0,No,No,,Yes,No,,Yes,No,850.0,No,No,340.0,No,No,,Yes,No,4590.0,No,No,I did not visit,,I did not visit,,I visited,Very satisfied,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I visited,Very satisfied,I did not visit,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Rather satisfied,Rather satisfied,Rather satisfied,"Neither satisfied, nor dissatisfied",Rather satisfied,Rather satisfied,Rather satisfied,Rather satisfied,"Neither satisfied, nor dissatisfied",Rather satisfied,Rather satisfied,Rather satisfied,"Neither satisfied, nor dissatisfied",DK,Rather satisfied,Rather satisfied,Rather satisfied,Not applicable,,No difficulties,,,I would surely recommend,Orheiul Vechi,Castle Mimi,,DK,,,,DK,,,Roads,,,Male,Complete higher education (Bachelor’s degree),Single
1801.0,Rom-Rus,Chisinau,PMAN (during National Wine Day & City Anniversary),Moldovan diaspora who traveled in MD,Russia,Ukraine,58.0,56-67,3.0,Moldovan diaspora who traveled in Moldova,"To meet with my relatives, friends. Relative, friends called me",,,"People's hospitality, good people",Wine,,3.0,14.0,1-2 weeks,"Visiting relatives, friends",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,To some extent,"Visiting relatives, friends",No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,Myself,,No,No,No,No,No,No,No,No,No,No,Yes,,,,Very easy,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,Yes,,By train,By train,5500.0,No,No,,Yes,No,,Yes,No,1250.0,No,No,,Yes,No,,Yes,No,97.5,No,No,,Yes,No,,Yes,No,6847.5,No,No,I did not visit,,I visited,Very satisfied,I visited,Very satisfied,I visited,Very satisfied,Cimitirul,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,I visited,Very satisfied,I did not visit,,I visited,Very satisfied,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,I did not visit,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not applicable,,No difficulties,,,I would surely recommend,Cricova,Purcari,"Monasteries, Churches",Drink wine,Visit Orheiul Vechi,"Hiking, walking",,,,,All,,,Female,Complete higher education (Bachelor’s degree),"Married, with children"
